id	label	comment
1	0	我好想和你一样离开这里
2	0	看着抑郁症跳楼的女孩我也心疼虽然我也想死
3	0	我有抑郁症，我也想去死一死
4	0	饭，我昨天刷微博看到19岁的女孩跳楼了，内心很难受，如果你见到了她帮我跟她道个歉好吗？告诉她这和并不是她的错，是这个社会没有让她体会到温暖。我现在会在你这条微博下面会陪内心绝望的人说会话，聊聊天。
5	0	饭，最近甘肃跳楼那个姑娘是我们这边的，我深深的能理解她跳下去的勇气，我很心痛又觉得她得到了解脱，而我呢，什么时候才能解脱。
6	0	家里附近的学校有个女孩因为感情问题跳楼自杀了，家里人说她迟早要出事的，早点死了她父母也好再生一个，我是不是也应该早点死掉，或者不要出生就好了，活到现在真是浪费他们的生命
7	0	饭，我在父母面前哭，我指责他们。可是其实错的人是我啊。他们是好父母，是我的问题啊。我这种人啊还是死了好吧，但是不敢跳楼割腕，你看我还怕疼，多没用啊
8	0	我真的很讨厌这个世界啊，我想离开这个家，为什么命运从来都不是公平的。我想重新选择我的人生啊。
9	0	我也想去死一死，可我要担心我死后别人会怎么议论我和我的父母，我爸妈要怎样生活下去，我没有勇气，不行，我要撑住，人活着总归要死的，早晚的问题。。。对。。。撑住活下去。。没人会听我说这些话，他们不理解，只会说我闲得想太多，所以我对谁都不会再讲这些话了，没人懂我，只能在这说说我的内心话
10	0	大醉真好 起床送人最后一程了 人死随风散
11	0	以后要买深夜的机票 体会一个人凌晨在路上飘荡的孤独
12	0	自身都难保了，更不想让周围人担心我，跟着我一起，
13	0	可是真的好累阿……毕业好几天了，羡慕别人裙子短裤出门，我短袖长裤出门。跳下去吧，没胆子，不跳吧，听着别人说“死胖子”这种话，我又讨厌别人指指点点的，谢谢自己的胆小，不然我三年前就该死了……
14	0	饭饭我要自杀绝对不跳楼。
15	0	室友说: 真的想死的人就去啊，反正活着也是浪费，生命那么美好。我忽然哑口无言，她说得好像一点错都没有诶。但又想了想，我并不觉得生命美好啊，那就去死啊，可是活着又不是只有我自己一个啊？觉得活着不好也是错也是一种罪过，所以就应该去死。可，出生这件事情本身就不是我们想要的啊。
16	0	小饭。我第一次在你这里评论。我活的好累。我也想去死一死。每天装开心真的很累。
17	0	明天就火化了 人死真的随风散了 人生啊 倒不如大醉倒头就睡
18	0	想和你在夏天闷热的夜晚散步 然后一起喝酒或者坐在一起沉默 最后一起离开 可你是谁呢
19	0	我有钱了我就可以离开你离开这个世界
20	0	明年想去菲律宾上班 今年现在又想去死
21	0	羡慕那些老人，不用交际，也要离开这个世界了。恨不得一夜之间变老，80岁了也就没几年可以活了
22	0	不是我想抑郁呀 全世界都在与我为敌 我好累呀 我真的好想死啊 到底还在害怕什么啊 是活着所受的痛苦不够多吗 选择不去追究一切 自己死去 不是最好的吗 饭 我真的好废物啊 对不对 为什么不敢跟你一样离开草木人间
23	0	最近自杀的太多了，不想看见有人去死啊…地球46亿年了，而一个人连百年都未必能存在，为什么不去试着活下去呢？我在去跳江的路上被拉回去过…自残过…也砸过东西…还是活着比较好吧？抱歉，我也不是很清楚为什么要活着，但还是试一下吧，要相信自己啊，每天努力一小下就好
24	0	每天头疼 疼的我想去死
25	0	真想去死
26	0	他抱着不活的想法，我觉得我说什么都没有用，我没有告诉他，曾经我看着楼下就想跳下去，看着刀片就想划一刀，但是却在努力的活着啊
27	0	中考考试成绩还没出来呀 可是分数估了 450左右吧 大家都说考二中要470呀 差了那么多分 大概是考不上了吧 我的妈妈开始永无止境的责怪我 但是她不知道 我真的有努力了啊 虽然不像好同学那么刻苦 可是我真的也认真了啊 妈妈总是说让我混吃等死 但是她不知道呀 我有多么想离开这个世界呢 我也好想走呀
28	0	从武汉到西安再到鄂尔多斯！有没有人一起的，还可以看看大草原
29	0	我想离开现在待的地方，可是我跟本不知道能去哪里。更可惜的是自己白白浪费的那么多年时间，已经没办法找回来。整个人都没法动，一丧丧一天，一天天丧下去，不知道哪天就死了。
30	0	现在头晕眼花&nbsp;&nbsp;&nbsp;我想离开这个世界了
31	0	其实有那么一批人，很想进入这个世界，只是每个人都是不一样的风景，入口各不相同，所以只能在门外尴尬的试探
32	0	我有抑郁症，所以就去死一死。
33	0	昨天去北医六院确诊了双相情感障碍（又叫燥郁），家人不理解，他们的说辞依旧是我们为你付出这么多，你怎么可能有病，想想我们容易吗，你应该自己克服。好了，要不我就去死一次，也许死了之后，你们就能明白我的感受了。反正你们才40多，还能再生一个。
34	0	饭饭啊 我好想一个人住啊，想脱离群体生活
35	0	想死两天 好难过
36	0	我外婆四月去世了，她是我最爱的亲人，我从小就内向抑郁，不高兴想死的时候就想，只有外婆喜欢我，她不在了我就跳楼，这么想十几年了，我也长大奔三了。但是她走之前我才明白，她一辈子是钢铁一样坚强，但是因为很多原因没能实现自我。我回应她最好的方式就是像她一样活，但走另一条路，实现她的愿望。
37	0	我好想去找你，见见你，陪你一起离开。
38	0	搞半天昨天说了死今天就想活 说日子会越来越好的 昨天跟我说的时候我怎么安慰都没有用 还问我一起去死
