comment	myLabel
我以前总是期待明天，现在明天来了我只想结束一切。想法已经实行，钢丝绳已经在脖子上了，再见各位。	10
我算好了楼高，刚好能让我一跃而下的高度，让一切都消停，再见了各位。	10
如果我已经回不来的话，可能我已经灭亡在互联网里了，求您们悼念一下啊。	10
其实我早就想了结生命，今晚母亲不在家，可能真的要走了。	10
真的有些受不了了，人来人往的，没有人看得见我，何不结束一切。	10
还好，我还有28楼，晚安 everyone.	10
紧张的心跳竟然还觉得胸口闷，也许刚刚放错药量太少吧，那就再放多点吧。	10
难过的时候，真希望这个世界没有我，目前已经在吞药，请别闹了，也别管我了。	10
得，已经没了什么好留恋的，我的决定死亡应该能让我无痛痛快快离开了吧。	10
走饭，已经在划了自己手腕的我再跟你说再见，希望你在那边能接纳我。	10
我现在的当下就像一只已经被束缚的鸟儿，有那么一瞬间，感觉自己能够飞翔到另一个世界了。	10
已经在高楼的顶端了，选择结束自己的生命。再见世界。	10
考虑过冲向火车但不甘心到最后还得给世界留下遗憾，现在已经在大楼边缘挥着手说再见了。	10
哈哈，我的生命就要在这尽头划上一个句号了，算了，还是让自然选择死亡吧。	10
针剂已经放在一起了，马上要打了，你们也不必担心之后没有我资助你们了。	10
大家真的不用担心，已经放好水了，一会儿就可以睡个柔软的觉了。	10
饭饭，我知道我接下来要做的可能让你很伤心，但我实在撑不下去了。	10
已经跨上楼顶的栏杆了，真心希望你们不要和我一样，活的那么痛苦。	10
我很抱歉，我决定今晚就结束自己的生命，我已经住不下去了，很难熬，再见。	10
算了，我决定了，我要结束生命了，我已经好几天没出门，刀片也准备好了	10
走饭，真的好想你，我也已经整理好了遗物，我真的不想活了，活着真的好累，我就快见到你了，等我。	10
看着你走了，我也真的好想结束这个生活了，没有人懂我，也没有人可以陪我了，就快要见到你了走饭。	10
本来想熬过去的，可是实在是没办法，看着盐酸，我只需要一口气，就可以结束了。	10
人生好苦，我好想结束自己的生命，刀子已经准备好了，我已经没有勇气熬下去了。	10
我真的好想死，气瓶已经喷出来很久了，我就快失去知觉了，走饭，我们就快要见面了。	10
为什么我不能结束自己的生命，这就是解脱啊，长安大桥，我来了。	10
走饭，真好你可以解脱了，我就要走了，我真的太累了。	10
我真的好痛苦，我已经犹豫的时间太久了，顶楼，再见了，希望能走好。	10
我真的好渺小，什么都不是，我想消失，我现在就要走了。	10
过量服药，也许我能象你一样安静的离开这个世界。	10
走饭，我也要走了，我真的再也承受不了这个世界对我的残酷了。	10
我开始服药了，就快不会痛了，走饭，达拉斯再见了。	10
我真的好累，我真的好想不醒来，我已经割开了手腕，我看见血慢慢的流出来，我的意识开始模糊了。	10
走饭，我也要走了，这个世界太坏，我真的好恨，人生就像一场闹剧，我选择出局。	10
我真的好累，我真的忍不住了，我已经准备好了，晚上七点，我要去见你了。	10
@走饭，以飞为名，将舞于蓝天，不复再见。	10
看完走饭的微博后，我也想跳下去了，拜拜这世界我不在了。	10
我真的碰到了瓶颈，挣扎太累了，想去见走饭了，现在就去。	10
每天都在想自己该怎么死，看了走饭的微博，我决定去跳楼，再见了。	10
受够了现在的生活，跳下去就会轻松很多，我也去了拜拜。	10
想了很久，决定今晚就去找走饭，带上酒，走一走人生路。	10
电台上的节目让我落泪，我不想再撑下去了，我也离开就好。	10
偶然在网上搜到的区块链投资被骗，真的无法接受，我要去跳楼了。	10
想了一个晚上，决定的事情都会去做，跳楼开启新生活了。	10
现在家里债台高筑，我真的好想走了，去找走饭。	10
说不出痛苦，只有去死才能结束，我现在就去。	10
面对现在这样的生活，我选择离开，可以带我去见走饭了。	10
痛苦不是我无法承受，只是我不想承受，选择走问是我现在的决定。	10
前一段日子我滑下楼梯失败了，这次我会跳楼看看。	10
明天可能没时间了，今天要处理一些事情，就跳楼了。	10
现在每天都很痛苦，即使失败了也没有后顾之忧，就走了，拜拜。	10
现在51楼，看起来不错，选择就从这里跳下去结束一切。	10
正在楼顶，楼下的人来的及阻止我吗？不想太多了，goodbye。	10
家里穷到不能再穷，负债累累，赔上这次我去投资，真的不行了，准备离世。	10
每次痛到不能在家呆下去，只能出到空旷的地方，每次都想走掉，这次我真的要跳了。	10
天堂没有痛苦，走饭，我要去找你了。	10
要过马路了，不过我可能不会看车	10
我头痛得厉害，不想再活着受苦了，想找个荒郊野岭上药了。	10
我已经在冲水迷醉中捏紧了脖子上的绳索，走饭，我们要在天堂相见了。	10
我在窗前，风景很美，走饭，你在天上等我一下。	10
我设好了打开煤气的定时器，决定和走饭一起走。	10
昨晚我给自己扎过一次针，今晚就准备亲手结束了。	10
我已经把脖子系在横梁上了，走饭，等我。	10
我已经在桥上了，只等合适的时机。	10
拿起刀的这一刻我想到你，走饭，我们的青春因为活着而痛苦，能不能因为死去而结束。	10
躺在床上设好了煤气闹钟，只不过不知道会不会醒来。	10
件事我已经决定了，今夜我将飞向你。	10
走饭，我不打算活到明天，等我。	10
我已经找好了跳楼的楼，只是等待适合的时间而已！	10
坐在桥栏杆上，看着下面的车流如织，我真的想一跃而下。	10
我也准备上吊了，等着你，我们一起走吧。	10
一起走吧，我已经买好了安眠药，马上就见面了。	10
我开始吞药了，生活真是太累了，我终于可以得到解脱了。	10
写了一封长长的遗书，我准备出发了，永别了这个世界。	10
我也去找你了，据说死后一切都会解脱，我期待解脱。	10
切腕进行中，遗书写完了，就只差最后一步了。	10
我站在楼顶，就快见到你了，告别这个虚伪的世界。	10
我也坐在悬崖边，别担心，我马上就跟着你来了。	10
现在的我站在天桥上，人来人往，等着结束这一切。	10
我也准备了绳子，马上就能去找你了，别担心，我会带着你的遗物。	10
害怕，但是还是决定要和你一起走，绳子已经到位，一会就见面了。	10
我也想和你重逢，站在楼顶，眼泪无声无息的滑落，马上就要结束了。	10
我有一种预感，自己应该会和你一样离开这世界，再会了，这个世界。	10
吞下了最后一粒安眠药，希望一切都能结束，和你一起离开这个世界。	10
累了，真的累了，我也准备去另一个世界找你了，再见这个世界。	10
我也吃了药，晚上见，我们在另一个世界见面。	10
我也打开了煤气，就这样吧，等待见到你。	10
告别这个世界了，一会再见，我们很快就能在另一个世界重逢。	10
我的遗书也写完了，一会就要离开这个世界了，我们很快就能重逢了。	10
痛苦的生活再也无法忍受，我准备去找你了，我也从这个世界离开了。	10
草草完成了遗书，已经上了台阶，电话关机了，不想留下任何挽留	10
拨了120，可是此时，我正握稳那束花，脚下的空气很冷	10
正在吃完最后一份汉堡王，我经过了好几遍人行天桥，我已经站在顶上了	10
来，一起不再负担呼吸的费用，我坐在阳台栏杆上，等着凌晨三点	10
今晚所有的药已经洗下去了，与世界宣布最后的告别	10
爸爸妈妈，记得帮我饲养我的波斯猫，真想再也不醒来了	10
决定好了，明天在这个城市离开，就在那条河边	10
精心选了个最好的丝巾，给我的脖子一点温度，再会了你们	10
痛苦的分数比自杀更高，已经锁定了安眠药的数量，今夜就走	10
我在精神病院里，已经藏好了药，晚上就去	10
刚刚去了最后一趟厕所，跟着走饭吧，他已经在等我了	10
指尖都被针扎得疼，静脉被切开，血液流淌，一切都会结束的	10
上吊的绳子已经就位，年华早已落尽，画下了生命的句号	10
房门已经锁好，大家不再会被我打扰，服下的药让我感到宁静	10
电热毯都准备好，既然生存如此困扰，那就告别尘世吧。	10
今夜坠楼，紫衣为我垂，别问归期，无期[悲][悲]	10
我正在找合适的药，我准备今晚结束了，再见。	10
明明早已孤军奋战，为何还如此坚韧？也罢，人的一生太苦，我已对死亡无惧。#我即将离开#	10
感谢你曾经帮助过我...但是我已经做出决定，今晚就要离开了。	10
我在猜，这个世界会怎么样，如果我再也不在了。我想了想，估计没什么不同，我准备走了。	10
一直在斟酌该如何离开这个世界，现在想好了。 #告别世界#	10
我在寒冷的浴缸中，看着手腕上的鲜血流逝而去，这个世界对我而言只有无尽的愤怒和痛苦，已经没什么可留恋的了，我决定今天就离开。	10
