comment	twoClass
走之前要对你取关了，我们约定另一个世界见，好吗	1
你去蹦极试一试，跳下去试一次，你会发现活着其实很好，不要想不愉快的事情。	0
刚刚我和我妈妈吵架，她要跳楼，我把她按住。。。然后就歇斯底里的犯病了，虽然之前情绪控制不住的时候会犯病，还是第一次在家人面前，还好她只是以为我是对她不满报复她而已，掐脖子撞墙，我真的想倒下	0
不是不想让你走，是你自己不想走，真的想走的话，八一楼跳，谁也不能阻当你	1
感觉呼吸都很困难，想死又不敢死	0
签完器官捐献，突然觉得真的不怕了	1
上吊 跳楼 成功率最高的自杀方式了 反正选择去做了就反悔不了[思考]	1
谁烧炭	1
有时开心，但下一秒就想离世	0
对，一起下地狱吧	1
我二十几岁，却比同龄人经历了很多，单亲家庭长大的孩子，从小受尽别人异样的眼光，有过想死的念头，可是想了想母亲和我女儿，下不了狠心。生活再苦，也要活下去，我不欠谁什么，余生，我要对得起生我的人和我生的人。世界少了我一个人没什么，我只是很难想象，我死了以后，母亲白发人送黑发人的感受。	0
如果我离开这个世界了，我希望我的灵魂能陪在你身边，生不能在一起，那我就用这种形式留在你身边，我想看着你从早到晚每时每刻都在忙些什么，看着你陪你老婆白头偕老的样子，只要能陪在你身边就好	0
怎么总是有阻挠我离开这个世界的各种因素[打脸]	0
一安静下来就想着去跳楼一摔就死真痛快！睡一觉醒来感受到饥饿感觉人又活过来了，先泡桶泡面吃再说…	1
我今天走路的时候就在想，跳楼的话太疼了，万一吓到人怎么办，上吊我都没办法美美的死啦，跳海尸体都浮肿了，想来想去还是烧炭比较好，可是在家里我怕连累家里，日租房房住怎么办，酒店的话万一防护没做好周边的人也不行了怎么办，我实在不懂为什么这么简单的一件事我都这么摇摆不定	1
每天喝边跑步的时候 都想直接跳下去	1
我对生活已经毫无盼望了 生活它对我不好 我整个世界也是失去了意义一样。你说怎样才能离开这肮脏的世界	0
又崩溃了，已经不记得是第几个崩溃的夜晚。真的好想离开这个世界啊	0
遗书已经写好，手腕上密密麻麻全是伤口，明天都在想要不要自杀要不要继续活下去，每天明明什么也没做可就是累，人生真的很无趣，我也很无趣。所以我还是去死吧，没有什么意义。饭，想你。	1
好多无能为力的事都要我去解决掉，尽管我深知自己的秉性无能，那好像就是我生存在世间被给予的唯一意义，不得停下。尽管我假装冷漠地俯视着他们，我还是感到很痛苦。有时候难过靠着“过会我就去死。想把麻烦之源都杀了然后带着过得苦的人一起去死。”这种懦弱自私的想法度过日夜。不过是原地打转罢 唉	0
我也快到尽头了，玻璃割腕真的不疼，但是血哗啦一下都出来了。没想到自己会走到这一步，不过不重要。我会适应这些伤口，然后越来越深，最后不会再有人觉得我是作秀	1
所以我说，割了拍的，我当然知道，	1
上吊很难的，我失败了	1
现在有点理解带上一家人去死的人的心态了 那多好啊 都死了 谁也不会牵挂谁一了百了	0
饭 这一次我要割腕了 等我哦	1
约吗？我也很想死	1
