comment	twoClass
如果大人生小孩前都能问问小孩愿不愿意被生下来该有多好 我一定选择不要生我 20多年来 快乐只有一瞬间 剩下的都是大大小小无边的痛苦 我是不是上辈子犯了什么错 要被生下来承受生活的折磨 想吃掉一整瓶安眠药在属于自己的房间里烧炭平静的死去 死了我不麻烦别人 但是却又不办不到才是最痛苦的	1
我前几天就是 想去自杀 脑袋的第一瞬间想到的就是 溺水身亡	1
千万不要，再想想，再想想。今早看到峨眉山女孩的遗书时我就想她是不是来过这里？会不会也来过这里？然后，在我们不知道的时候，在这135万评论里，与我，与我们擦肩而过，一走就是再不见……	0
有人要一起死的嘛	1
饭！我也好想死一死阿。25岁了，工作身心疲惫，刚离职，卡里一千三，没有男朋友没有关系很好的人。死可能是一种解脱吧！	0
我觉得你现在状态应该和我几个月前差不多，我那时候也觉得人生没啥希望了，所有的负面情绪交织在一起，遗书都写好了，可是都过来了，我也不知道你是因为家庭的原因还是什么，总之你把这段挺过去之后，会发现人生很美好的	0
当服务员半天，不想做了。想去跳楼。	1
对了，饭饭我想起来我前几天看见一个视频，那哥哥在山崖攀岩时解开绳子跳下去了，这可是我15岁左右最喜欢的死法，我觉得不错，只不过找不到尸体，现在觉得开枪最好	1
可是她能让我好受一些呢	0
一千个一万个活下去的理由都抵不过自杀这一个念头 想死成了每晚睡前思考问题 怎么才能悄无声息的死去 不给任何人添麻烦 如果有一种办法让人抹去一个人的存在痕迹 那我就能大大方方的去死了 赴死就像赶赴一场约会	0
在楼顶想了很多种死去的方式	1
我也想去死一死，没什么大不了[微笑]	1
从武汉到西安再到鄂尔多斯！有没有人一起的，还可以看看大草原	0
真的太难过了 想自杀 割自己总是好受一些 我该狠心一点的 太难过了	1
跳楼有人试过吗？	1
把遗书写好了，死就是随时都可以发生的事了。	1
从小到大当父母省心的孩子当累了，能不能给我一次让他们省心的机会让我离开。前几年才知道自己有个姐姐，出生不久便夭折了，我哭了很久，终于知道父母头发为啥不到50便花白终于知道他们要孩子这么晚的原因。别人在12岁之前淘气，想着怎么开心而我想着怎么离开这个世界，有时会一个人哭没有理由，我还考	0
为什么吐不出来呢喝了酒你知道多难受吗	0
夏天对于我这个甲亢女孩真的很不友好 夏天和死我会选择死	0
烧炭需要一个很小而且封闭的空间，应该需要大量的炭才可以吧。。	1
你们知道我为什么想去四川吗 因为我希望给我一场地震 我就能离开这个世界。	1
感谢您参与人间十六年游 现在可以去死了	1
饭 我真的好难过啊 我不知道还能撑多久 要不是因为爸爸妈妈 我可能早就离开这个世界了 这段日子 所有的一切都向我砸过来 我也不知道压死骆驼的最后一根稻草在哪里 我只求在它压死我之前 能出现一件让我觉得生活是有意义的事情吧	0
我像是在做噩梦一样。。。隐隐约约听见我妈叫我 。因为浑身发冷，忍不住哭了。醒过来却对差点死掉这件事情一点害怕也没有。从那之后我就在想，生活实在过不下去的话，就用这个办法自杀吧。	0
我要去死一下，生活太令人难过了，我受不了别人的眼光，对我就是玻璃心，讨厌周围的人，讨厌父母，我连自己都讨厌，我想离开，或者去死	0
饭饭，想你了，今日独白大概就是对自己不够绝望吧，在六楼我放弃了。我那么用心化好一个妆，还不容易吃完一晚饭，我没力气去写遗书，可是我只写了一一句话，就没力气去写了。我下来了我对自己不够绝望，我该去死我想去死，我想去地狱，不想做人做人好累好苦好难受。	0
我也不知道生命还有什么意义 生老病死 我有一个私心是想和最离不开的那个人一起死可我又希望他能好好活着 全世界我可是最宝贝他的啊	0
没有什么难过的事，就是想死一死	0
可是我怕伤害，怕伤害人家女方，我不敢结婚也许是因为有你这样的老爸，也许是因为我这样的人就不该拥有爱情一样，我想离开这个世界，因为我发现我一直都在好好的和你相处，可是你永远也不知道去改变，知道你有病，但是我真的希望自己有神经病，然后像你一样不问世事，一个人活在自己的世界里，	0
丧没关系，你跟我说也没关系，但是别今天说你想跳楼 第二天跟男朋友出去了一趟 就变好了 然后今天还跟你说日子会好起来的劝你别死 你不觉得搞笑么 我觉得嘲讽死了 真的	0
我刚刚就想跳了	1
想死的人我们去建个群	1
现在头晕眼花我想离开这个世界了	0
我真的想离开这个世界了 除了离开 无论到哪里去都能使我窒息	0
我极度的想完成我的梦想，在25岁或者27岁去死吧，那刚好是离我最幸福的童年二十年的时候，我可以给童年美好的自己一个交代。没有任何东西让我留恋了，以前没得抑郁症时吵个架想死还会觉得为了我的家人我不能死，现在发现家人也没有在爱我，我没有什么好留恋的，我只需要完成我想做的事就可以走了	1
我特别遵守交通规则，因为我要克制住撞向车的冲动，自杀就自杀，不能害别人出事故。警惕自己不能服毒，不能跳楼，因为我还要捐器官。献血不能献，我也一身的毛病，但愿器官还有点用。	1
最无助的是亲戚的刀向我砍来，人心其实谁也摸不透，我祝福他们早点死。让他死去的弟弟，我的父亲看看，他所谓的家人是怎样逼迫他留在世上的儿女的，最千刀万剐是那几个满腹仁义道德，但双手充满献血的人，	0
出生的时候就应该用脐带上吊自尽	1
曾经以为我来了学校以后会生不如死每天都不会笑但来了之后发现其实并没有我想的那么痛苦我以为别班不管我认识不认识的都会对我指桑骂槐最后是多想。今天我走在学校的路上别班人给我打招呼我那时候发出的笑是真心的快乐的。曾经我想过自杀退学但因为各种原因坚持了下来我以后会直面问题解决它不在逃避。	0
我想给我爱的人生一个孩子 可是穷 没钱养 那我们一家三口就一起死 多好	0
有人想死吗 我们一起上路 我怕死不了 我们一起商量个不太疼又肯定能死掉的方法	1
真的想走的，我们一起结个伴好吗	1
等把钱花没了，你们就陪我一起死。	0
想要从10楼跳下去结束自己的一切，可是，胆小，不敢，从窗台上下来趴在床上哭了一下午，暗暗决定不能这样了，便开始与生活做斗争，现在，今年，我马上就要进入大学了，我感觉自己早都好起来了，一切都会好起来的，希望，你们也能好起来。	0
想死掉	0
中考考试成绩还没出来呀 可是分数估了 450左右吧 大家都说考二中要470呀 差了那么多分 大概是考不上了吧 我的妈妈开始永无止境的责怪我 但是她不知道 我真的有努力了啊 虽然不像好同学那么刻苦 可是我真的也认真了啊 妈妈总是说让我混吃等死 但是她不知道呀 我有多么想离开这个世界呢 我也好想走呀	0
有一起去死的吗	1
饭饭，我已经不抱任何希望活着了，去努力重生还要重新话费很多力气我已经没力气了明天打算去死一死，如果真的死成了，我只希望我身边的人不要讨厌我也不要找我	0
很累，我多希望爷爷这次能够带我一起走，无论天堂地狱，总比人间好啊。我查了很多死亡的方法，想寻找一种不那么痛的方式离开，因为我胆小。但是我觉得我离死亡越来越近了，我觉得太难过了，真的太难过了。没有人爱，连我自己都恨不得自己赶紧死。我多想把这条命还给她。	0
一个半月前确诊的中度抑郁症，现在不敢吃药，因为还要考试 也怕胖。一个月前被父母押回老家，虽然正常上班但是每天晚上都要情绪崩溃都要哭，拼了命想逃离这个城市，还被父亲天天打击威胁施加精神压力，就在昨天甚至有跳楼的念头。好想坚持下去但是好难好难	1
我真的好想死 有人组团吗 我真的坚持不住了	1
查了割腕，死的太慢，怕痛，还是去跳楼吧，希望不要活过今年，背负着对亲人的愧疚，顶着压力，请不要活过今年	1
饭 好久不见 不是我变好了 是我越来越会演戏了 活着 好痛苦啊 无论从哪个方面来说 这个病态的世界 真的只有有病的人才会继续生活下去吗 那为什么 我病得这么严重了 我还是想离开呢	0
我也有点想去死一死	0
qq里有约死群 也不知道那些人怎么找到的 哎 活得很累	1
饭，上吊好难受	1
有时候是真的不得不去想怎么个死法才能不痛苦，感觉自己没几年好活了，尤其是这几天，真它丫丫的痛苦，有时候想得挺开的，不就是没得吃好吃的玩好玩的嘛，不就是早死晚死的问题嘛，人一没，这些啥都不会多想了。其实我挺矛盾的，不想死又有不得不早死的理由，真是难为我这个对生活乐观积极还爱笑的人	0
像我这种人，无时无刻都想着离开这个世界，真的很羡慕那种意外死亡的，因为我还是没有勇气自杀，特别是在听说吃安眠药自杀五脏六腑都会很疼之后，有时候就会想我会不会有不治之症呢，那样子，是不是就可以名正言顺厉害这个世界了，还好我有个姐姐，可以把我最放心不下的父母照顾好。	1
每时每刻都有人离开这个世界 为什么不能是我呢	0
觉得世上没有真正在乎我的感受的人。也很想死一死。可又不敢死。只是觉得，这世界真是无趣啊。活着很累，很难，死了也很简单。好累好累。	0
后来 再也没有我们[伤心]	0
跳下去是一件简单的事，但如果被亲情友情爱情和外界所有和自己有联系的东西拉扯着，就变得连爬上天台的能力都没有了	1
痛苦，差不多已经对这个世界绝望了，活着感觉行尸走肉毫无意义可言，等我积攒够了失望和赴死的勇气，我就去追随你的步伐！	0
旅馆可以吧？密闭……找个比较小的房间，弄点布把门窗户给堵了，烧炭，不难。劣质的碳更简单。或者自己租个短期房子。	1
好想把自己一块块的切下来，然后踩几脚，我真他妈恶心自己，这样孤独的活着一点希望都没有，起码给我个温暖的目标，让我追逐，没有一切没有谁会在意你的感受，想死就死吧在这里bb什么赶紧他妈的去死吧	0
太累了…真的太累了	0
我感觉我长得挺漂亮的但是我跳楼就会变得很难看	1
今天又是想去死的一天。呆在卧室里 默默的反锁了门。拉上了窗帘。奶奶还在喊我吃午饭，我没有回应 点起了一根香烟 我家是六楼， 跳下去会死吗？	1
跳海怎么样	1
看了泰国普吉岛翻船，心里在想如果我在船上那该多好解脱了	1
我跳下去吧	1
我的耳朵里好多人在说话	0
我想自杀 请问安眠药吃多少可以死掉	1
如果所有人都对我说“你快去死吧”我就会觉得“啊我活着实在太对不起大家了但我死了的话大家都会很开心，我死了真好。”可没有人这么对我说，大家都希望我去死却又想着办法阻拦我不让我去死	0
割腕真疼	1
有谁能一起烧炭自杀嘛	1
明天找地方跳楼	1
所谓的“朋友”们都离我远去，我现在孤身一人，每天过得平平淡淡。我害怕我真的自杀了我父母会担心我，他们很爱我，我也很爱他们，可是我现在身上的负罪感已经远远超过他们对我的爱。我曾经还没有想要自杀的念头的时候，那个时候父母的爱支撑着我，让我不会有这个念头。	0
收到个私信，问我怎个死法方便快捷。忘记在饭这里写过什么了，不过还是感觉有点好笑，一方面国产手机国产软件真不敢随便说话怕死不瞑目，另一方面我个人又没办法给死亡做什么测评。目前为止测试过的，连续两顿不吃饭、不饿但有点神志不清，对疼痛的感觉会降低一些。不吃饭还晒太阳会感觉更晕。	0
跳河	1
走饭，晚上好。昨天我和我妈妈说了轻生的事情，我妈妈没有打我骂我，她告诉我，既然一个人死都不怕了，那么还有什么事能拦住她呢。可是她在讲这个话的时候我一直望着27楼的窗户。什么时候可以跳下去啊，死了就好了。	1
可是我感觉跳楼真的好残忍啊 我有想过烧炭或者吃药又不知道什么剂量	1
看到那个华山跳崖的动图。更觉得自己百无一用，胆子太小。前不久多好啊，去了张家界。那个高度掉下去大概是扑进云里。可是我没想着松手。周围的朋友都在和我说笑，仿佛我会跟他们一样鲜活似的。	1
又想去死了，恶性循环	0
怎么 一起	1
上吊	1
我的喉咙哼不出来声音了	0
我真的不想再笑了 我想大喊 大哭 大声告诉全世界我很累了 我是真的撑不下去了 可是当一个人乐观久了 哪怕她在上吊 别人都会以为她在荡秋千	0
走饭……你说你有抑郁症，所以就想去死一死。我现在很难过，所以我也想去死一死，也想体验一下死是什么感觉，人与人的差距当真比人与狗的差距大啊，我真的是一无是处了	0
上吊怎么样？	1
朋友说他很羡慕你，昨天知道了他11号晚上在酒店焚碳自杀的消息，他才20岁啊，就已经失去了对生活的希望，活着对他来说是多么的难。	0
对抗世界的不理解很累，假装自己会痊愈很累，强撑着笑脸很累，一个人面对巨大的绝望，很累。所以最后，他们身心俱疲，选择离开这个世界。	0
窒息而死很痛苦。割腕也不敢。其实就是不敢死啦。虽然活着也不开心。	1
我也想过，如果把世界走一遍，还没能够实现自己的梦想，找不到活下去的理由，找不到能留住我的小部分的话，就自杀了	0
感觉生活压的自己喘不过气 感觉体力被一点点的透支 好想逃离这个世界	0
有的时候我就在想，我得活着，我得活着，怎么着我也得把命留着，我太怕死了。我还有爸妈，他们爱我，我不能死，我也怕死，割腕太疼了，车祸也是，我住了一个月的院才活下来，我怎么能死呢，我一定要活着	0
