comment	myLabel
写了极短很长的纸条，只要下达去了才也许倒下了。就是今晚我尤其想死。	10
写了极短很长的遗书，除非发出去了才就算死掉了。便是那时你特别想死。	10
写了很长很长的遗书，如果发出去了就真的发疯了。只是今晚你尤其想死。	10
写了很长较长的血书，如果下达去了才真的倒下了。就是明天你尤其想死。	10
你写坏了一封不晓得什么之前会发出去的遗言，你还想先挺一挺，况且我真的撑不住了，我妈说他中午七点过来，我要不用趁他不在的时候勇敢当然吗？	10
我写坏了写给不知晓怎么之前会发出去的家书，我还想再挺一挺，可是我真的要不然了，我妈说她早晨十点回来，我要切勿趁她无此的之前坚忍当然呢？	10
你写好了信件不知道甚么时候会发来去的家书，我就想又挺一够，况且我真的要不然了，我妈说我早晨八点回来，我要切勿趁她不在的时候坚强一点呢？	10
你写好了写给不认得甚么时候能发来去的遗言，我还想再够一蛮，不过你真的撑不住了，我妈说她傍晚十点过来，我要不必趁她不在的时候勇气当然呢？	10
我不知道怎么办了、你说过双脚亡、我炖了这么多年、我想死了这么多年、你也活着你已然很勇敢了、没有人会永远爱我、你真的你是个疯子是个瞎子、我不适合处世、今晚下雨了、你坏想救人死、衹必须几分钟我便能够靠近痛苦了少好啊、希望我今晚可以顺利[太开心]	10
我不知道是不是了、我说过死死死、我熬了那么多年、你想死了如此多年、我还活着我已然很勇敢了、没有人会永远爱我、我觉得你是个坏人是个瞎子、我不合适品行、今天下雪了、你好想跳河死、只需要几分钟我就需要避开痛苦了小好啊、期望我今天需要成功[太愉快]	10
你不知道是不是了、我说过死死死、我熬了这么多年、我想死了如此多年、我还活着我已经很坚强了、没有人能永恒爱你、我觉得你是个疯子是个傻子、我不适合仁义、那时放晴了、我坏想跳河死、衹需要几分钟我就可以远离痛苦了多坏啊、希望你那时可以成功[很愉快]	10
我不知道怎么办了、我说过死死亡、我熬了这么多年、我想死了这么多年、我也活着你已经很勇气了、没有人会永远爱我、我其实我是个坏人是个傻子、我不适合做人、今天大雨了、我好想跳河死、衹需要几秒钟我便需要远离痛苦了小好啊、希望我今晚需要顺利[很难过]	10
你去坠楼啦。	10
我去轻生啦。	10
你去跳楼吧。	10
你去跳楼啦。	10
很压抑，很不爽，提议跳楼 晚安。 201807.29	10
很煎熬，很不爽，决定坠楼 你好。 201807.29	10
很压抑，很郁闷，同意自杀 再见。 201807.29	10
很压抑，很郁闷，决定坠楼 你好。 201807.29	10
饭饭，刚刚我没控制住在饭桌上哭了过来，父母才和我吵了起来。他们说，讨厌我这样装模作样就知晓哭。也许我早已很久以前很久没有这样忽然瓦解了，只是他们当然也不观察我。一不小心，我竟躲往卧室拿起刀割手臂，居然给朋友踢了通电话，他依旧在宽慰你。又麻烦了他人呢。你就是想活着，为什么那么难呢？	10
饭饭，刚刚我没掌控住在饭桌上哭了进去，父母又与你吵了起来。他们说，厌恶我这个装模作样就知道笑。其实我早已依稀记得很久没有这样突然崩解了，就是他们当然也不了解你。一不小心，我再躲到浴室拿起鼻子手臂，居然给朋友打了通电话，她长年在安慰我。再闹心了自己呢。我只是想活着，为什么如此难吗？	10
