走饭，你的离去真让我好难过啊，你解脱了好像我也想解脱。死，可能是我退出这种苦痛的唯一方法吧。	4
看到你选择离开，我也有了这样的冲动。幸福？那注定不是我能享受的，我一直有想过去死一死的念头。	4
看着你的照片，我下定决心要去死一死，想跟你一样，结束这无尽的痛苦，希望我们在那边可以重新开始，画个圆。	4
我的心真的好痛，每一天都是无边的黑暗。我想去死一死，感觉这就是对我现在最好的救赎。	4
说不出的惆怅，这种痛苦让我也想去寻死，哥你在上面等等我，我马上就来找你。	4
真的好累，工作让我筋疲力尽。我恨我自己，特别想去死一死，只有死才可以让我停止思考，休息吧。	4
常常感到无望，那种空心的感觉真的让人痛苦，我想离开这个世界，实在是累了。	4
一无是处的我真的挺想死的，没有人能理解我，只有死可能是最后的出路。	4
走饭，你离开的那天我心如刀割，虽然大家都是网友，但我好想跟你一样解脱，我也好想去死一死。	4
感觉活着好累，我好想释放自己，想去尝试一下死亡的滋味。	4
越来越感受到这世界的无趣，看到你离开，我也想要去死一死，把一切都结束掉。	4
这种寂寞叫我如何承受，只有去死一死才能解脱。走饭，我们在天堂见吧。	4
看你去死，我感觉我也有了这个想法，但是具体实施的方法我还不知道，想去死一死，结束这种痛苦。	4
生活已经没有意思了，看来我要尝试去死一死的那条路了。只是还没有找到合适的方式。	4
看着你离开，我也产生了去死一死的想法。生活真的太累了，每一刻都是痛苦。	4
生活是一种无尽的痛苦，对我来说，去死一死，好像是最好的选择。	4
每一天都在煎熬，我也想去死一死，结束这一切的痛苦，只是还没有想好如何实施。	4
我也有和你一样的想法，想去死一死，生活中无止境的疲惫和痛苦让我丧失了活下去的兴趣。	4
看着你选择离开，我也有同样的想法。我想去死一死，只是还没有找到合适的方式。	4
我也好想去死一死啊，每天的疲劳，每天的痛苦让我把自杀看作是唯一的解脱。	4
我也觉得死一死比较好...啥都不用想了[憧憬]	4
真羡慕他，可以选择结束生命，我也好想。	4
有时候真的想就这样不再醒来了。	4
真的感觉自己活得好累，也想试试死亡的感觉。	4
某些时候，真的很想轻轻的走掉，就像我从未来过一样。[失望]	4
我也常常想要结束生命，可是，我没有勇气。	4
小饭，有时我也会梦到自己不再活着，然后瞬间感觉好舒服。	4
好羡慕小饭啊，他有勇气结束自己的痛苦，我时常梦到自己离开这个世界，可是醒来还是要继续痛苦着。	4
有时候我也会想，如果有一天我消失了会怎样，生活是不是就不再那么痛苦了。	4
有时候，活着真的好累，好想结束自己的生命。	4
我也常常梦到我结束自己的生命，然后梦里的自己感觉好轻松。	4
有时候真的觉得有人能和我一起离开世界就好了。	4
生活真的好累，世界就好像对我充满了敌意，有时候真的好想死了算了。	4
为何活着如此艰难，我想开始一场没有硝烟的新生。	4
有时候，我真的好希望自己就这样不再醒来了，恶梦就这样结束。	4
天天活在痛苦中，真想找个解脱的出路，不过是离世界更近一步罢了，对吧？	4
我回头看一看，发现我已经很久没开心过了。是不是离开这个世界会更好呢？	4
我尝试着告别这痛苦的世界，可我实在没有勇气，所谓人生如梦，或许早点醒来也不坏。	4
倘若人生是一场梦，是不是我死去，就可以彻底醒来了，真想试试。	4
如果人活得像个行尸走肉，是不是死了也无所谓了。	4
我真的好崩溃，每天的工作压力，看不到尽头，感觉像活在煎熬中，有时候真的想放弃。	4
看到他离开了这个世界，我也想试试，不过只是想想罢了，我还有什么可以留恋的呢。	4
不是我逃避，我真的好累，我就想离开这一切的痛苦，死也许是一个解脱。	4
哈哈，我也经常这么想，如果我也离开这个世界，会不会更好一些。	4
